,src,mt,ref,correctness,repetitions,named-entities,omission,strong-unsupport,full-unsupport
140,Die Wirksamkeit der Preissignale ist von ausschlaggebender Bedeutung für die Steigerung der Energieeffizienz und die Förderung von FuE-Investitionen.,The effectiveness of price signals is crucial for increasing energy efficiency and promoting RD investment.,Letting price signals work is crucial to increasing energy efficiency and stimulating RD investment.,1,0,0,0,0,0
141,Nur der Stuck an der Decke uns das Wandabendmahl konnten nicht restauriert werden.,The room was very small and the bathroom was very small.,Only the stuccos of the ceiling and the wall could not be restored.,0,0,0,0,0,1
142,"Frau Präsidentin, liebe Kollegen!","Madam President, ladies and gentlemen.","Madam President, dear colleagues!",1,0,0,0,0,0
143,Verhinderung einer Zersplitterung des Marktes;,preventing fragmentation of the market;,preventing market fragmentation;,1,0,0,0,0,0
144,(Die Sitzung wird um 19.27 Uhr unterbrochen und um 21.00 Uhr wiederaufgenommen.),(The sitting was suspended at 7.27 p.m. and resumed at 9 p.m.),(The sitting was suspended at 7.27 p.m. and resumed at 9 p.m.),1,0,0,0,0,0
145,Davon werden wir nicht abrücken.,We will not abandon this.,We are going to leave no margin.,1,0,0,0,0,0
146,"Atlantische Seefahrten waren in Antike und Mittelalter Buß- und Irrfahrten, wie das Schicksal des heiligen Brendan mahnt oder wie Dante im achten Höllenkreis berichtet, wo Odysseus im Bann der curiositas (Neugierde) die Säulen durchschifft.","In ancient and Middle Ages, Atlantic maritime journeys were busses and irrides, as evidenced by the fate of holy Brendan or as reported by Dante in the eighth Höllenkreis, where Odysseus crosses the pillars in the banner of curiositas ( curiosity).","In antiquity and medieval times Atlantic voyages were penitential wanderings and odysseys, as the fate of Saint Brendan demonstrates or as is reported by Dante in the eighth circle of hell where Ulysses, under the spell of curiositas (curiosity), sails beyond the pillars.",0,0,0,0,0,0
147,"Das tut sie jedoch nicht, deshalb ist die Kampagne nur ein Feigenblatt.","However, it does not, so the campaign is just a fig leaf.",It does not do this and that is why it is a sham.,1,0,0,0,0,0
148,Mit der Weltwirtschaft Schritt halten,Keeping pace with the global economy,Keeping in step with the global economy,1,0,0,0,0,0
149,"Ein Muss für Besucher ist das mittelalterliche Fest ""Mercato delle Gaite"", der die Altstadtgässchen der vier Stadtteile authentisch mit Tavernen und antiken Handwerkstätten belebt.","The medieval festival ""Mercato delle Gaite"" (Mercato delle Gaite) is a must for visitors.","Do not miss the fair of the ""Gaite,"" a faithful re-creation of daily life in the Middle Ages along the evocative lanes and corners of the four wards of the town.",0,0,0,1,0,0
150,"Einer der heftigsten, aber auch angesehensten Kritiker dieser Technik ist Andres S. Tanenbaum , und von ihm kommt ein sehr interessanter Ansatz.","In 2369 , he was assigned to the USS Enterprise-D , where he was assigned to the USS Enterprise-D .","Andrew S. Tanenbaum is a guy who's quite familiar with this topic, and he presented a quite interesting approach.",0,1,0,0,0,1
151,Kodifizierung - Saat- und Pflanzgut XII,Codification - seed and plant XII,Ms Lene ESPERSENMinister for Justice,0,0,0,1,0,0
152,"Im Ferienverkehr können immer wieder Extremfälle auftreten, die wir nicht zu vertreten haben.","When it comes to holiday travel, extreme cases can occur time and time again that we do not have to defend.",Holiday traffic can result in extreme cases that we have no control over.,1,0,0,0,0,0
153,Als einzige Begleiterscheinung bleibt ein leichtes Prickeln mit Hitzegefühl.,"As the only side effect, a light heat-sensitive sparkling is left.",Patients feel only a warm sensation and slight prickling.,0,0,0,0,0,0
154,Zur Absicherung der E-Mail-Kommunikation auf Basis von PGP- als auch X.509-Schlüsseln hat die Schaeffler Gruppe eine Zertifizierungsinfrastruktur (Public Key Infrastructure PKI) aufgebaut.,The Schaeffler Group has set up a Public Key Infrastructure PKI (Public Key Infrastructure PKI) to secure e-mail communication based on PGP and X.509 keys.,"In order to ensure the security of email communication based on PGP and X.509 keys, the Schaeffler Group has established a certification infrastructure (Public Key Infrastructure PKI).",0,1,0,0,0,0
155,Die Reihenfolge lautet wie folgt:,The order is as follows:,The order is as follows:,1,0,0,0,0,0
156,"Irgendein Hafen, irgendeine Fläche, irgendein Auto, irgendein Platz innerhalb des Hafens.","Some port, some area, some car, some place inside the port.","Any port, any plane, any car, any place within port.. Lost while taxiing in airport?",1,0,0,0,0,0
157,Zu feiern gibt es bei beiden...,There are two celebrations to be held at both...,And there's lots of good reasons to...,0,0,0,0,0,0
158,"Wände sauber und ohne Charakter tragen, oštešæenja usw.","Walls clean and uncharacteristic, oštešæenja etc.","Walls clean and without wearing character, oštešćenja etc.",1,0,0,0,0,0
159,"Herr Präsident, meine Damen und Herren Abgeordnete,","Mr President, ladies and gentlemen,","Mr President, Honourable Members,",1,0,0,0,0,0
160,Damit ich nicht missverstanden werde.,Let me not be misunderstood.,Don't get me wrong.,1,0,0,0,0,0
161,Assoziationsrat EU-Türkei (Dok.,EU-Turkey Association Council (doc.,EU-Turkey Association Council (doc.,1,0,0,0,0,0
162,"Wir haften nicht für Ansprüche, die sich aus dem Zugang zu Informationen von Sites ergeben, die mit der unseren verbunden oder verlinkt sind.",We are not liable for claims arising out of access to information from sites linked to or linked to our site.,We are not responsible or liable for access to or information provided by any site that is linked from or to this site.,0,0,0,0,0,0
163,"Die Weltraummissionen, bei denen es um die weitere Erforschung der Entstehung des Universums geht, starten mit der Ariane 5-Trägerrakete.",The Ariane 5 launches the Ariane 5 launcher.,"The Space science missions, which will focus on understanding how the Universe was created, will be launched on the Ariane 5 rocket.",0,1,0,0,1,0
164,"Wenn dann noch die Touristen mit ihren Benzinkutschen einfallen, wird's halt etwas eng auf den Straßen.","If the tourists still come in with their gas slides, it will be a little narrow in the streets.","Add the tourists with their cars, and it'll result in pretty crowded streets.",1,0,0,0,0,0
165,Es gibt keine und der Wächter zeigt uns einfach reinzugehen.,There is no one and the Guardian simply shows us to be clean.,The guard standing in the gate just shows we should enter.,0,0,0,0,0,0
166,"Im Hotel Rosengarten gehören Geselligkeit und Gastfreundschaft zum Lebensstil und schaffen so ein ausgesprochen angenehmes Ambiente, in dem man sich augenblicklich zu Hause fühlt.",In the Rosengarten Hotel you will find a warm and friendly atmosphere where you will immediately feel at home.,"In the Hotel Rosengarten, conviviality and hospitality are part of the way of life, and help to create an extremely pleasant atmosphere in which our guests feel at home in a instant.",0,0,0,0,0,0
167,Zusammenarbeit auf dem Gebiet der Verbrauchsteuern *,Excise co-operation *,Cooperation on excise duties *,1,0,0,0,0,0
168,"Da der dabei sich aufwerfende Grat auf der Platte beim Drucken schnell wieder niedergedrückt wurde und nur wenige Abzüge gedruckt werden konnten, wurde diese Technik von vielen Künstlern vor allem zum Überarbeiten von bereits geschnittenen oder geätzten Platten verwendet.","This technique was used by many artists, especially for overhauling previously cut or christened recordings.","As the emerging burr was compressed again after some printings and only a few copies could be pulled, drypoint was often practised by artists for re-working already cut or etched plates.",0,0,0,1,0,0
169,Dienstpersonal weiss Trinkgeld sehr zu schätzen.,Staff are very appreciative of tip.,The service staff greatly appreciates a tip.,1,0,0,0,0,0
170,"Variety Inhaber auf seiner Website (l to Hollywood Bibel Informationen über die Film-Studios und ihre ""Einrichtung"") und einen sehr guten Ergebnisse box office-Serie im Vergleich mit dem Rest der Abenteuerfilm in den .","Variety owner on his website (l to Hollywood Bible information on the film studios and their ""furniture"") and a very good results box office series compared to the rest of the adventure film in the .","Variety holders on its website (l to Hollywood bible information regarding the movie studios and their ""establishment"" means) and forward a very good box office results compared with the rest of the adventure film in the series .",1,0,0,0,0,0
171,An die kommt man auch nicht mehr ran.,You don't have to wait for them anymore.,For then it is impossible to get through to them.,0,0,0,0,1,0
172,Die bestehende Vertretung anvertraut Herrn ......... den Verkauf der Gesamtheit der vom Arbeitgeber hergestellten oder gehandelten Ware beinhaltend............,The existing representation entrusts to Mr ......... the sale of all the goods produced or traded by the employer....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,The present agreement gives to Mr........ the sales of all products manufactured or distributed by the employer and including....,0,1,0,0,0,0
173,Es handelt sich um entartete Religion.,It is a degraded religion.,It is a case of perverted religion.,1,0,0,0,0,0
174,"Wenn Sie ein Gabelstapler verkaufen möchten, oder eine komplette Flotte, können wir Ihr Partner sein.","If you want to sell a forklift or a complete fleet, we can be your partner.",If you contact us we can give you an initial valuation. If necessary an on-the-spot valuation can be arranged.,1,0,0,0,0,0
175,Übereinkommen über die Arbeit im Fischereisektor,Agreement on work in fisheries,Work in Fishing Convention,1,0,0,0,0,0
176,"Plötzlich wird der Waschbär Penis des Mannes Ripping, dass etwa die Hälfte der angegriffen.","Suddenly, the laundry bear penis of the man ripping that attacks about half of the.",Suddenly the raccoon attacked the man's penis ripping about half of that.,1,0,0,0,0,0
177,Wie sieht die Sache jetzt aus?,What is the situation now?,Where are we at now?,1,0,0,0,0,0
178,"Im Gegensatz dazu gibt es noch kleine Karten in den Huf, das mehr Nutzen zu Hause, sagt Schuh ist ""kalt"": Der Zähler Karten zurückgehen wird über die Höhe ihrer Einsätze.","By contrast, there are still small cards in the hood, which makes more use at home, says shoe is ""cold"": the counter cards will go back above the amount of their bets.","Conversely, it remains small cards in the shoe, the more this advantage home, the shoe is ""cold"": the meter cards will decrease the amount of his bets.",1,0,0,0,0,0
179,Auf für die Zuchtgebiete Westfalen und Rheinland wurde er als Hengst zugelassen.,"On the breeding areas of Westphalia and Rhineland, it was approved as a stallion.",He also has a special acknowledgement for Westfalen- and Rheinland-horses.,1,0,0,0,0,0
180,"Und unser Elias - na, der schwärmt vom Feldhof.","And our elias - na, the swarming of the Feldhof.","And Elias - well, he raves about Feldhof.",0,0,0,0,0,0
181,Mit attraktiven Tages- und Wochenpauschalen für die ganze Familie.,With attractive day and week packages for the whole family.,Located between the Sportarena and Burgerbad water arena.,1,0,0,0,0,0
182,Lage der Kabeljaubestände in der Ostsee,Baltic cod situation,State of cod stocks in the Baltic Sea,0,0,0,0,0,0
183,Minimaler Aufenthalt 2 nächte: ankunft am Samstag.,The staff were very friendly and helpful.,Minimum stay 2 nights: if Saturday night is included.,0,0,0,0,0,1
184,Ein Schmuckstück erstrahlt in neuem Glanze....,A piece of jewelry radiates in a new slope....,A jewel brought back to former glamour....,0,0,0,0,0,0
185,Er ist manchmal verschlungen und immer schwierig.,It is sometimes swallowed and always difficult.,It can sometimes be winding and it is always demanding.,1,0,0,0,0,0
